,tweet_id,date,time,lang,country_code
875,1356106515241787394,2021-02-01,05:06:03,en,
877,1356106516462358529,2021-02-01,05:06:03,en,
878,1356106519679356930,2021-02-01,05:06:04,en,
879,1356106520522592261,2021-02-01,05:06:04,en,
884,1356106529724882944,2021-02-01,05:06:06,en,
886,1356106531750567936,2021-02-01,05:06:07,en,
887,1356106536502915087,2021-02-01,05:06:08,en,
893,1356106540474793986,2021-02-01,05:06:09,en,
894,1356106540780974089,2021-02-01,05:06:09,en,
895,1356106542383247362,2021-02-01,05:06:09,en,US
899,1356106553976266754,2021-02-01,05:06:12,en,
901,1356106558967578625,2021-02-01,05:06:13,en,
904,1356106566991183876,2021-02-01,05:06:15,en,
905,1356106568308150275,2021-02-01,05:06:15,en,
906,1356106568547196929,2021-02-01,05:06:15,en,
908,1356106569910345742,2021-02-01,05:06:16,en,
910,1356106571932028930,2021-02-01,05:06:16,en,
911,1356106573664411648,2021-02-01,05:06:17,en,
913,1356106577468653570,2021-02-01,05:06:17,en,
917,1356106583814467587,2021-02-01,05:06:19,en,
918,1356106586582876160,2021-02-01,05:06:20,en,
922,1356106588772298753,2021-02-01,05:06:20,en,
923,1356106588906516480,2021-02-01,05:06:20,en,
924,1356106589921398784,2021-02-01,05:06:20,en,
927,1356106592580751361,2021-02-01,05:06:21,en,
929,1356106598628773889,2021-02-01,05:06:23,en,
931,1356106601090846723,2021-02-01,05:06:23,en,
932,1356106602437369859,2021-02-01,05:06:23,en,
933,1356106612448972800,2021-02-01,05:06:26,en,
934,1356106614760214528,2021-02-01,05:06:26,en,
935,1356106615213068288,2021-02-01,05:06:26,en,
937,1356106620862775296,2021-02-01,05:06:28,en,
939,1356106621705805825,2021-02-01,05:06:28,en,
941,1356106624964943874,2021-02-01,05:06:29,en,
943,1356106628198752258,2021-02-01,05:06:30,en,
945,1356106630673408001,2021-02-01,05:06:30,en,
946,1356106632401285122,2021-02-01,05:06:31,en,
950,1356106640349683712,2021-02-01,05:06:32,en,
951,1356106641222082560,2021-02-01,05:06:33,en,
952,1356106645990944772,2021-02-01,05:06:34,en,
957,1356106650030141444,2021-02-01,05:06:35,en,
958,1356106650587963394,2021-02-01,05:06:35,en,
